"","game.id","week","team","points","results"
"1",1,1,"Arizona State",63,"W"
"841",1,1,"Northern Arizona",6,"L"
"2",2,1,"Ball State",37,"W"
"842",2,1,"Eastern Michigan",26,"L"
"3",3,1,"Brigham Young",30,"W"
"843",3,1,"Washington State",6,"L"
"4",4,1,"Central Florida",56,"W"
"844",4,1,"Akron",14,"L"
"5",5,1,"Central Michigan",38,"W"
"845",5,1,"Southeast Missouri State",27,"L"
"6",6,1,"Connecticut",37,"W"
"846",6,1,"Massachusetts",0,"L"
"7",7,1,"Eastern Washington",20,"W"
"847",7,1,"Idaho",3,"L"
"8",8,1,"Kent State",41,"W"
"848",8,1,"Towson",21,"L"
"9",9,1,"McNeese State",27,"W"
"849",9,1,"Middle Tennessee State",21,"L"
"10",10,1,"Minnesota",30,"W"
"850",10,1,"Nevada-Las Vegas",27,"L"
"11",11,1,"New Mexico State",49,"W"
"851",11,1,"Sacramento State",19,"L"
"12",12,1,"South Carolina",17,"W"
"852",12,1,"Vanderbilt",13,"L"
"13",13,1,"UCLA",49,"W"
"853",13,1,"Rice",24,"L"
"14",14,1,"Utah",41,"W"
"854",14,1,"Northern Colorado",0,"L"
"15",15,1,"Utah State",34,"W"
"855",15,1,"Southern Utah",3,"L"
"16",16,1,"Florida Atlantic",7,"W"
"856",16,1,"Wagner",3,"L"
"17",17,1,"Michigan State",17,"W"
"857",17,1,"Boise State",13,"L"
"18",18,1,"Stanford",20,"W"
"858",18,1,"San Jose State",17,"L"
"19",19,1,"Temple",41,"W"
"859",19,1,"Villanova",10,"L"
"20",20,1,"Tennessee",35,"W"
"860",20,1,"North Carolina State",21,"L"
"21",21,1,"Air Force",49,"W"
"861",21,1,"Idaho State",21,"L"
"22",22,1,"Alabama",41,"W"
"862",22,1,"Michigan",14,"L"
"23",23,1,"Arizona",24,"W"
"863",23,1,"Toledo",17,"L"
"24",24,1,"Arkansas",49,"W"
"864",24,1,"Jacksonville State",24,"L"
"25",25,1,"Clemson",26,"W"
"865",25,1,"Auburn",19,"L"
"26",26,1,"Colorado State",22,"W"
"866",26,1,"Colorado",17,"L"
"27",27,1,"Duke",46,"W"
"867",27,1,"Florida International",26,"L"
"28",28,1,"East Carolina",35,"W"
"868",28,1,"Appalachian State",13,"L"
"29",29,1,"Florida",27,"W"
"869",29,1,"Bowling Green State",14,"L"
"30",30,1,"Florida State",69,"W"
"870",30,1,"Murray State",3,"L"
"31",31,1,"Fresno State",37,"W"
"871",31,1,"Weber State",10,"L"
"32",32,1,"Georgia",45,"W"
"872",32,1,"Buffalo",23,"L"
"33",33,1,"Illinois",24,"W"
"873",33,1,"Western Michigan",7,"L"
"34",34,1,"Indiana",24,"W"
"874",34,1,"Indiana State",17,"L"
"35",35,1,"Iowa",18,"W"
"875",35,1,"Northern Illinois",17,"L"
"36",36,1,"Iowa State",38,"W"
"876",36,1,"Tulsa",23,"L"
"37",37,1,"Kansas",31,"W"
"877",37,1,"South Dakota State",17,"L"
"38",38,1,"Kansas State",51,"W"
"878",38,1,"Missouri State",9,"L"
"39",39,1,"Louisiana State",41,"W"
"879",39,1,"North Texas",14,"L"
"40",40,1,"Louisiana-Lafayette",40,"W"
"880",40,1,"Lamar",0,"L"
"41",41,1,"Maryland",7,"W"
"881",41,1,"William & Mary",6,"L"
"42",42,1,"Miami FL",41,"W"
"882",42,1,"Boston College",32,"L"
"43",43,1,"Mississippi",49,"W"
"883",43,1,"Central Arkansas",27,"L"
"44",44,1,"Mississippi State",56,"W"
"884",44,1,"Jackson State",9,"L"
"45",45,1,"Missouri",62,"W"
"885",45,1,"Southeastern Louisiana",10,"L"
"46",46,1,"Nebraska",49,"W"
"886",46,1,"Southern Mississippi",20,"L"
"47",47,1,"Nevada",31,"W"
"887",47,1,"California",24,"L"
"48",48,1,"New Mexico",66,"W"
"888",48,1,"Southern",21,"L"
"49",49,1,"North Carolina",62,"W"
"889",49,1,"Elon",0,"L"
"50",50,1,"Northwestern",42,"W"
"890",50,1,"Syracuse",41,"L"
"51",51,1,"Notre Dame",50,"W"
"891",51,1,"Navy",10,"L"
"52",52,1,"Ohio",24,"W"
"892",52,1,"Penn State",14,"L"
"53",53,1,"Ohio State",56,"W"
"893",53,1,"Miami OH",10,"L"
"54",54,1,"Oklahoma",24,"W"
"894",54,1,"Texas-El Paso",7,"L"
"55",55,1,"Oklahoma State",84,"W"
"895",55,1,"Savannah State",0,"L"
"56",56,1,"Oregon",57,"W"
"896",56,1,"Arkansas State",34,"L"
"57",57,1,"Purdue",48,"W"
"897",57,1,"Eastern Kentucky",6,"L"
"58",58,1,"Rutgers",24,"W"
"898",58,1,"Tulane",12,"L"
"59",59,1,"South Florida",34,"W"
"899",59,1,"Chattanooga",13,"L"
"60",60,1,"Southern California",49,"W"
"900",60,1,"Hawaii",10,"L"
"61",61,1,"Tennessee-Martin",20,"W"
"901",61,1,"Memphis",17,"L"
"62",62,1,"Texas",37,"W"
"902",62,1,"Wyoming",17,"L"
"63",63,1,"Texas State",30,"W"
"903",63,1,"Houston",13,"L"
"64",64,1,"Texas Tech",44,"W"
"904",64,1,"Northwestern State",6,"L"
"65",65,1,"Texas-San Antonio",33,"W"
"905",65,1,"South Alabama",31,"L"
"66",66,1,"Troy",39,"W"
"906",66,1,"Alabama-Birmingham",29,"L"
"67",67,1,"Virginia",43,"W"
"907",67,1,"Richmond",19,"L"
"68",68,1,"Wake Forest",20,"W"
"908",68,1,"Liberty",17,"L"
"69",69,1,"Washington",21,"W"
"909",69,1,"San Diego State",12,"L"
"70",70,1,"West Virginia",69,"W"
"910",70,1,"Marshall",34,"L"
"71",71,1,"Western Kentucky",49,"W"
"911",71,1,"Austin Peay",10,"L"
"72",72,1,"Wisconsin",26,"W"
"912",72,1,"Northern Iowa",21,"L"
"73",73,1,"Youngstown State",31,"W"
"913",73,1,"Pittsburgh",17,"L"
"74",74,1,"Baylor",59,"W"
"914",74,1,"Southern Methodist",24,"L"
"75",75,1,"Louisville",32,"W"
"915",75,1,"Kentucky",14,"L"
"76",76,1,"Virginia Tech",20,"W"
"916",76,1,"Georgia Tech",17,"L"
"77",77,2,"Cincinnati",34,"W"
"917",77,2,"Pittsburgh",10,"L"
"78",78,2,"Utah State",27,"W"
"918",78,2,"Utah",20,"L"
"79",79,2,"Alabama",35,"W"
"919",79,2,"Western Kentucky",0,"L"
"80",80,2,"Arizona",59,"W"
"920",80,2,"Oklahoma State",38,"L"
"81",81,2,"Arizona State",45,"W"
"921",81,2,"Illinois",14,"L"
"82",82,2,"Arkansas State",33,"W"
"922",82,2,"Memphis",28,"L"
"83",83,2,"Boston College",34,"W"
"923",83,2,"Maine",3,"L"
"84",84,2,"Bowling Green State",21,"W"
"924",84,2,"Idaho",13,"L"
"85",85,2,"Brigham Young",45,"W"
"925",85,2,"Weber State",13,"L"
"86",86,2,"Buffalo",56,"W"
"926",86,2,"Morgan State",34,"L"
"87",87,2,"California",50,"W"
"927",87,2,"Southern Utah",31,"L"
"88",88,2,"Clemson",52,"W"
"928",88,2,"Ball State",27,"L"
"89",89,2,"Florida",20,"W"
"929",89,2,"Texas A&M",17,"L"
"90",90,2,"Florida International",41,"W"
"930",90,2,"Akron",38,"L"
"91",91,2,"Florida State",55,"W"
"931",91,2,"Savannah State",0,"L"
"92",92,2,"Georgia",41,"W"
"932",92,2,"Missouri",20,"L"
"93",93,2,"Georgia Tech",59,"W"
"933",93,2,"Presbyterian",3,"L"
"94",94,2,"Illinois State",31,"W"
"934",94,2,"Eastern Michigan",14,"L"
"95",95,2,"Indiana",45,"W"
"935",95,2,"Massachusetts",6,"L"
"96",96,2,"Iowa State",9,"W"
"936",96,2,"Iowa",6,"L"
"97",97,2,"Kansas State",52,"W"
"937",97,2,"Miami FL",13,"L"
"98",98,2,"Kentucky",47,"W"
"938",98,2,"Kent State",14,"L"
"99",99,2,"Louisiana State",41,"W"
"939",99,2,"Washington",3,"L"
"100",100,2,"Louisiana Tech",56,"W"
"940",100,2,"Houston",49,"L"
"101",101,2,"Louisiana-Lafayette",37,"W"
"941",101,2,"Troy",24,"L"
"102",102,2,"Louisiana-Monroe",34,"W"
"942",102,2,"Arkansas",31,"L"
"103",103,2,"Louisville",35,"W"
"943",103,2,"Missouri State",7,"L"
"104",104,2,"Marshall",52,"W"
"944",104,2,"Western Carolina",24,"L"
"105",105,2,"Maryland",36,"W"
"945",105,2,"Temple",27,"L"
"106",106,2,"Miami OH",30,"W"
"946",106,2,"Southern Illinois",14,"L"
"107",107,2,"Michigan",31,"W"
"947",107,2,"Air Force",25,"L"
"108",108,2,"Michigan State",41,"W"
"948",108,2,"Central Michigan",7,"L"
"109",109,2,"Middle Tennessee State",31,"W"
"949",109,2,"Florida Atlantic",17,"L"
"110",110,2,"Minnesota",44,"W"
"950",110,2,"New Hampshire",7,"L"
"111",111,2,"Mississippi",28,"W"
"951",111,2,"Texas-El Paso",10,"L"
"112",112,2,"Mississippi State",28,"W"
"952",112,2,"Auburn",10,"L"
"113",113,2,"North Carolina State",10,"W"
"953",113,2,"Connecticut",7,"L"
"114",114,2,"North Dakota State",22,"W"
