"","game.id","week","w.id","w.conference","w.name","w.abbrvs","w.rank","w.pts","location","l.pts","l.rank","l.abbrvs","l.name","l.conference","l.id"
"519",1,1,9,"Pac-12","Arizona State","ASU",26,63,"",6,26,"NOAZ","Northern Arizona","FCS",118
"190",2,1,15,"Mid-American","Ball State","BALL",26,37,"",26,26,"EMU","Eastern Michigan","Mid-American",43
"796",3,1,21,"Independent","Brigham Young","BYU",26,30,"",6,26,"WSU","Washington State","Pac-12",194
"18",4,1,27,"Conference USA","Central Florida","UCF",26,56,"@",14,26,"AKRON","Akron","Mid-American",2
"620",5,1,28,"Mid-American","Central Michigan","CMU",26,38,"",27,26,"SEMIZZ","Southeast Missouri State","FCS",153
"370",6,1,37,"Big East","Connecticut","UCONN",26,37,"",0,26,"UMASS","Massachusetts","Mid-American",88
"257",7,1,44,"FCS","Eastern Washington","EWU",26,20,"@",3,26,"ID","Idaho","Western Athletic",63
"722",8,1,76,"Mid-American","Kent State","KENT",26,41,"",21,26,"TOW","Towson","FCS",179
"414",9,1,89,"FCS","McNeese State","MCNST",26,27,"@",21,26,"MTSU","Middle Tennessee State","Sun Belt",95
"469",10,1,96,"Big Ten","Minnesota","MINN",26,30,"@",27,26,"UNLV","Nevada-Las Vegas","Mountain West",106
"582",11,1,109,"Western Athletic","New Mexico State","NMSU",26,49,"",19,26,"SACRST","Sacramento State","FCS",141
"760",12,1,148,"Southeastern","South Carolina","SC",9,17,"@",13,26,"VAN","Vanderbilt","Southeastern",186
"573",13,1,183,"Pac-12","UCLA","UCLA",26,49,"@",24,26,"RICE","Rice","Conference USA",138
"520",14,1,184,"Pac-12","Utah","UTAH",26,41,"",0,26,"NOCOL","Northern Colorado","FCS",119
"650",15,1,185,"Western Athletic","Utah State","UTST",26,34,"",3,26,"SUTAH","Southern Utah","FCS",160
"777",16,1,48,"Sun Belt","Florida Atlantic","FAU",26,7,"",3,26,"WAG","Wagner","FCS",191
"85",17,1,94,"Big Ten","Michigan State","MSU",13,17,"",13,24,"BST","Boise State","Mountain West",18
"590",18,1,161,"Pac-12","Stanford","STAN",21,20,"",17,26,"SJSU","San Jose State","Western Athletic",145
"761",19,1,165,"Big East","Temple","TEM",26,41,"",10,26,"VILL","Villanova","FCS",187
"508",20,1,166,"Southeastern","Tennessee","TEN",26,35,"",21,26,"NCST","North Carolina State","Atlantic Coast",114
"268",21,1,1,"Mountain West","Air Force","AF",26,49,"",21,26,"IDST","Idaho State","FCS",64
"407",22,1,3,"Southeastern","Alabama","BAMA",2,41,"",14,8,"MICH","Michigan","Big Ten",93
"718",23,1,8,"Pac-12","Arizona","ARI",26,24,"",17,26,"TOL","Toledo","Mid-American",178
"306",24,1,10,"Southeastern","Arkansas","ARK",10,49,"",24,26,"JVILST","Jacksonville State","FCS",72
"71",25,1,33,"Atlantic Coast","Clemson","CLEM",14,26,"",19,26,"AUB","Auburn","Southeastern",13
"149",26,1,36,"Mountain West","Colorado State","COLS",26,22,"",17,26,"COL","Colorado","Pac-12",35
"217",27,1,39,"Atlantic Coast","Duke","DUKE",26,46,"",26,26,"FIU","Florida International","Sun Belt",49
"31",28,1,40,"Conference USA","East Carolina","ECU",26,35,"",13,26,"APPST","Appalachian State","FCS",7
"100",29,1,46,"Southeastern","Florida","UF",23,27,"",14,26,"BG","Bowling Green State","Mid-American",20
"447",30,1,50,"Atlantic Coast","Florida State","FSU",7,69,"",3,26,"MURR","Murray State","FCS",102
"801",31,1,52,"Mountain West","Fresno State","FRES",26,37,"",10,26,"WEBST","Weber State","FCS",195
"107",32,1,55,"Southeastern","Georgia","UGA",6,45,"",23,26,"BUF","Buffalo","Mid-American",22
"817",33,1,65,"Big Ten","Illinois","IL",26,24,"",7,26,"WMU","Western Michigan","Mid-American",200
"288",34,1,67,"Big Ten","Indiana","IND",26,24,"",17,26,"INDST","Indiana State","FCS",68
"522",35,1,69,"Big Ten","Iowa","IOWA",26,18,"@",17,26,"NIU","Northern Illinois","Mid-American",120
"741",36,1,70,"Big 12","Iowa State","ISU",26,38,"",23,26,"TULSA","Tulsa","Conference USA",182
"610",37,1,74,"Big 12","Kansas","KU",26,31,"",17,26,"SDKSU","South Dakota State","FCS",151
"444",38,1,75,"Big 12","Kansas State","KSU",22,51,"",9,26,"MIZZST","Missouri State","FCS",100
"517",39,1,80,"Southeastern","Louisiana State","LSU",3,41,"",14,26,"NTEX","North Texas","Sun Belt",117
"335",40,1,82,"Sun Belt","Louisiana-Lafayette","LA-L",26,40,"",0,26,"LAMAR","Lamar","FCS",78
"825",41,1,87,"Atlantic Coast","Maryland","MARY",26,7,"",6,26,"W&M","William & Mary","FCS",201
"92",42,1,91,"Atlantic Coast","Miami FL","MIA",26,41,"@",32,26,"BC","Boston College","Atlantic Coast",19
"124",43,1,97,"Southeastern","Mississippi","OLE",26,49,"",27,26,"C-ARK","Central Arkansas","FCS",26
"304",44,1,98,"Southeastern","Mississippi State","MISS ST",26,56,"",9,26,"JST","Jackson State","FCS",71
"621",45,1,99,"Southeastern","Missouri","MIZZ",26,62,"",10,26,"SE LOU","Southeastern Louisiana","FCS",154
"645",46,1,104,"Big Ten","Nebraska","NEB",17,49,"",20,26,"SO MISS","Southern Mississippi","Conference USA",159
"114",47,1,105,"Mountain West","Nevada","NEV",26,31,"@",24,26,"CAL","California","Pac-12",24
"623",48,1,108,"Mountain West","New Mexico","NM",26,66,"",21,26,"STHRN","Southern","FCS",155
"196",49,1,112,"Atlantic Coast","North Carolina","UNC",26,62,"",0,26,"ELON","Elon","FCS",45
"658",50,1,122,"Big Ten","Northwestern","NU",26,42,"@",41,26,"SYR","Syracuse","Big East",164
"448",51,1,125,"Independent","Notre Dame","ND",26,50,"",10,26,"NAVY","Navy","Independent",103
"551",52,1,126,"Mid-American","Ohio","OHIO",26,24,"@",14,26,"PENN","Penn State","Big Ten",132
"400",53,1,127,"Big Ten","Ohio State","OSU",18,56,"",10,26,"MIA-O","Miami OH","Mid-American",92
"710",54,1,128,"Big 12","Oklahoma","OU",4,24,"@",7,26,"UT-EP","Texas-El Paso","Conference USA",176
"593",55,1,129,"Big 12","Oklahoma State","OKST",19,84,"",0,26,"SAVST","Savannah State","FCS",146
