"","game.id","w.id","l.id","week","w.conference","w.rank","w.name","w.abbrvs","w.pts","w.ptdiff","l.conference","l.rank","l.name","l.abbrvs","l.pts","l.ptdiff"
"1",1,9,118,1,"Pac-12",26,"Arizona State","ASU",63,57,"FCS",26,"Northern Arizona","NOAZ",6,-57
"2",2,15,43,1,"Mid-American",26,"Ball State","BALL",37,11,"Mid-American",26,"Eastern Michigan","EMU",26,-11
"3",3,21,194,1,"Independent",26,"Brigham Young","BYU",30,24,"Pac-12",26,"Washington State","WSU",6,-24
"4",4,27,2,1,"Conference USA",26,"Central Florida","UCF",56,42,"Mid-American",26,"Akron","AKRON",14,-42
"5",5,28,153,1,"Mid-American",26,"Central Michigan","CMU",38,11,"FCS",26,"Southeast Missouri State","SEMIZZ",27,-11
"6",6,37,88,1,"Big East",26,"Connecticut","UCONN",37,37,"Mid-American",26,"Massachusetts","UMASS",0,-37
"7",7,44,63,1,"FCS",26,"Eastern Washington","EWU",20,17,"Western Athletic",26,"Idaho","ID",3,-17
"8",8,76,179,1,"Mid-American",26,"Kent State","KENT",41,20,"FCS",26,"Towson","TOW",21,-20
"9",9,89,95,1,"FCS",26,"McNeese State","MCNST",27,6,"Sun Belt",26,"Middle Tennessee State","MTSU",21,-6
"10",10,96,106,1,"Big Ten",26,"Minnesota","MINN",30,3,"Mountain West",26,"Nevada-Las Vegas","UNLV",27,-3
"11",11,109,141,1,"Western Athletic",26,"New Mexico State","NMSU",49,30,"FCS",26,"Sacramento State","SACRST",19,-30
"12",12,148,186,1,"Southeastern",9,"South Carolina","SC",17,4,"Southeastern",26,"Vanderbilt","VAN",13,-4
"13",13,183,138,1,"Pac-12",26,"UCLA","UCLA",49,25,"Conference USA",26,"Rice","RICE",24,-25
"14",14,184,119,1,"Pac-12",26,"Utah","UTAH",41,41,"FCS",26,"Northern Colorado","NOCOL",0,-41
"15",15,185,160,1,"Western Athletic",26,"Utah State","UTST",34,31,"FCS",26,"Southern Utah","SUTAH",3,-31
"16",16,48,191,1,"Sun Belt",26,"Florida Atlantic","FAU",7,4,"FCS",26,"Wagner","WAG",3,-4
"17",17,94,18,1,"Big Ten",13,"Michigan State","MSU",17,4,"Mountain West",24,"Boise State","BST",13,-4
"18",18,161,145,1,"Pac-12",21,"Stanford","STAN",20,3,"Western Athletic",26,"San Jose State","SJSU",17,-3
"19",19,165,187,1,"Big East",26,"Temple","TEM",41,31,"FCS",26,"Villanova","VILL",10,-31
"20",20,166,114,1,"Southeastern",26,"Tennessee","TEN",35,14,"Atlantic Coast",26,"North Carolina State","NCST",21,-14
"21",21,1,64,1,"Mountain West",26,"Air Force","AF",49,28,"FCS",26,"Idaho State","IDST",21,-28
"22",22,3,93,1,"Southeastern",2,"Alabama","BAMA",41,27,"Big Ten",8,"Michigan","MICH",14,-27
"23",23,8,178,1,"Pac-12",26,"Arizona","ARI",24,7,"Mid-American",26,"Toledo","TOL",17,-7
"24",24,10,72,1,"Southeastern",10,"Arkansas","ARK",49,25,"FCS",26,"Jacksonville State","JVILST",24,-25
"25",25,33,13,1,"Atlantic Coast",14,"Clemson","CLEM",26,7,"Southeastern",26,"Auburn","AUB",19,-7
"26",26,36,35,1,"Mountain West",26,"Colorado State","COLS",22,5,"Pac-12",26,"Colorado","COL",17,-5
"27",27,39,49,1,"Atlantic Coast",26,"Duke","DUKE",46,20,"Sun Belt",26,"Florida International","FIU",26,-20
"28",28,40,7,1,"Conference USA",26,"East Carolina","ECU",35,22,"FCS",26,"Appalachian State","APPST",13,-22
"29",29,46,20,1,"Southeastern",23,"Florida","UF",27,13,"Mid-American",26,"Bowling Green State","BG",14,-13
"30",30,50,102,1,"Atlantic Coast",7,"Florida State","FSU",69,66,"FCS",26,"Murray State","MURR",3,-66
"31",31,52,195,1,"Mountain West",26,"Fresno State","FRES",37,27,"FCS",26,"Weber State","WEBST",10,-27
"32",32,55,22,1,"Southeastern",6,"Georgia","UGA",45,22,"Mid-American",26,"Buffalo","BUF",23,-22
"33",33,65,200,1,"Big Ten",26,"Illinois","IL",24,17,"Mid-American",26,"Western Michigan","WMU",7,-17
"34",34,67,68,1,"Big Ten",26,"Indiana","IND",24,7,"FCS",26,"Indiana State","INDST",17,-7
"35",35,69,120,1,"Big Ten",26,"Iowa","IOWA",18,1,"Mid-American",26,"Northern Illinois","NIU",17,-1
"36",36,70,182,1,"Big 12",26,"Iowa State","ISU",38,15,"Conference USA",26,"Tulsa","TULSA",23,-15
"37",37,74,151,1,"Big 12",26,"Kansas","KU",31,14,"FCS",26,"South Dakota State","SDKSU",17,-14
"38",38,75,100,1,"Big 12",22,"Kansas State","KSU",51,42,"FCS",26,"Missouri State","MIZZST",9,-42
"39",39,80,117,1,"Southeastern",3,"Louisiana State","LSU",41,27,"Sun Belt",26,"North Texas","NTEX",14,-27
"40",40,82,78,1,"Sun Belt",26,"Louisiana-Lafayette","LA-L",40,40,"FCS",26,"Lamar","LAMAR",0,-40
"41",41,87,201,1,"Atlantic Coast",26,"Maryland","MARY",7,1,"FCS",26,"William & Mary","W&M",6,-1
"42",42,91,19,1,"Atlantic Coast",26,"Miami FL","MIA",41,9,"Atlantic Coast",26,"Boston College","BC",32,-9
"43",43,97,26,1,"Southeastern",26,"Mississippi","OLE",49,22,"FCS",26,"Central Arkansas","C-ARK",27,-22
"44",44,98,71,1,"Southeastern",26,"Mississippi State","MISS ST",56,47,"FCS",26,"Jackson State","JST",9,-47
"45",45,99,154,1,"Southeastern",26,"Missouri","MIZZ",62,52,"FCS",26,"Southeastern Louisiana","SE LOU",10,-52
"46",46,104,159,1,"Big Ten",17,"Nebraska","NEB",49,29,"Conference USA",26,"Southern Mississippi","SO MISS",20,-29
"47",47,105,24,1,"Mountain West",26,"Nevada","NEV",31,7,"Pac-12",26,"California","CAL",24,-7
"48",48,108,155,1,"Mountain West",26,"New Mexico","NM",66,45,"FCS",26,"Southern","STHRN",21,-45
"49",49,112,45,1,"Atlantic Coast",26,"North Carolina","UNC",62,62,"FCS",26,"Elon","ELON",0,-62
"50",50,122,164,1,"Big Ten",26,"Northwestern","NU",42,1,"Big East",26,"Syracuse","SYR",41,-1
"51",51,125,103,1,"Independent",26,"Notre Dame","ND",50,40,"Independent",26,"Navy","NAVY",10,-40
"52",52,126,132,1,"Mid-American",26,"Ohio","OHIO",24,10,"Big Ten",26,"Penn State","PENN",14,-10
"53",53,127,92,1,"Big Ten",18,"Ohio State","OSU",56,46,"Mid-American",26,"Miami OH","MIA-O",10,-46
"54",54,128,176,1,"Big 12",4,"Oklahoma","OU",24,17,"Conference USA",26,"Texas-El Paso","UT-EP",7,-17
"55",55,129,146,1,"Big 12",19,"Oklahoma State","OKST",84,84,"FCS",26,"Savannah State","SAVST",0,-84
"56",56,130,11,1,"Pac-12",5,"Oregon","ORE",57,23,"Sun Belt",26,"Arkansas State","ARKST",34,-23
"57",57,136,42,1,"Big Ten",26,"Purdue","PUR",48,42,"FCS",26,"Eastern Kentucky","EKU",6,-42
"58",58,140,181,1,"Big East",26,"Rutgers","RUT",24,12,"Conference USA",26,"Tulane","TULA",12,-12
"59",59,152,30,1,"Big East",26,"South Florida","SFU",34,21,"FCS",26,"Chattanooga","CHATT",13,-21
"60",60,156,60,1,"Pac-12",1,"Southern California","USC",49,39,"Mountain West",26,"Hawaii","HAW",10,-39
"61",61,168,90,1,"FCS",26,"Tennessee-Martin","TNMT",20,3,"Conference USA",26,"Memphis","MEM",17,-3
"62",62,169,204,1,"Big 12",15,"Texas","TEX",37,20,"Mountain West",26,"Wyoming","WYO",17,-20
"63",63,174,61,1,"Western Athletic",26,"Texas State","TEXST",30,17,"Conference USA",26,"Houston","HOU",13,-17
"64",64,175,124,1,"Big 12",26,"Texas Tech","TTU",44,38,"FCS",26,"Northwestern State","NWST",6,-38
"65",65,177,147,1,"Western Athletic",26,"Texas-San Antonio","UTSA",33,2,"Sun Belt",26,"South Alabama","SOBAMA",31,-2
"66",66,180,5,1,"Sun Belt",26,"Troy","TROY",39,10,"Conference USA",26,"Alabama-Birmingham","UAB",29,-10
"67",67,188,139,1,"Atlantic Coast",26,"Virginia","UVA",43,24,"FCS",26,"Richmond","RICH",19,-24
"68",68,192,79,1,"Atlantic Coast",26,"Wake Forest","WAKE",20,3,"FCS",26,"Liberty","LIB",17,-3
"69",69,193,144,1,"Pac-12",26,"Washington","WASH",21,9,"Mountain West",26,"San Diego State","SDSU",12,-9
"70",70,196,86,1,"Big 12",11,"West Virginia","WV",69,35,"Conference USA",26,"Marshall","MAR ",34,-35
"71",71,199,14,1,"Sun Belt",26,"Western Kentucky","WKU",49,39,"FCS",26,"Austin Peay","PEAY",10,-39
"72",72,202,121,1,"Big Ten",12,"Wisconsin","WIS",26,5,"FCS",26,"Northern Iowa","UNI",21,-5
"73",73,205,133,1,"FCS",26,"Youngstown State","YST",31,14,"Big East",26,"Pittsburgh","PITT",17,-14
"74",74,16,158,1,"Big 12",26,"Baylor","BAY",59,35,"Conference USA",26,"Southern Methodist","SMU",24,-35
"75",75,84,77,1,"Big East",23,"Louisville","LOU",32,18,"Southeastern",26,"Kentucky","UK",14,-18
"76",76,190,58,1,"Atlantic Coast",15,"Virginia Tech","VT",20,3,"Atlantic Coast",26,"Georgia Tech","GT",17,-3
"77",77,31,133,2,"Big East",26,"Cincinnati","CIN",34,24,"Big East",26,"Pittsburgh","PITT",10,-24
"78",78,185,184,2,"Western Athletic",26,"Utah State","UTST",27,7,"Pac-12",26,"Utah","UTAH",20,-7
"79",79,3,199,2,"Southeastern",1,"Alabama","BAMA",35,35,"Sun Belt",26,"Western Kentucky","WKU",0,-35
"80",80,8,129,2,"Pac-12",26,"Arizona","ARI",59,21,"Big 12",18,"Oklahoma State","OKST",38,-21
"81",81,9,65,2,"Pac-12",26,"Arizona State","ASU",45,31,"Big Ten",26,"Illinois","IL",14,-31
"82",82,11,90,2,"Sun Belt",26,"Arkansas State","ARKST",33,5,"Conference USA",26,"Memphis","MEM",28,-5
"83",83,19,85,2,"Atlantic Coast",26,"Boston College","BC",34,31,"FCS",26,"Maine","MAINE",3,-31
