"","game.id","week","outcome","abbrvs","conference","id","name","ptdiff","pts","rank"
"1",1,1,0,"NOAZ","FCS",118,"Northern Arizona",-57,6,26
"2",1,1,1,"ASU","Pac-12",9,"Arizona State",57,63,26
"3",2,1,0,"EMU","Mid-American",43,"Eastern Michigan",-11,26,26
"4",2,1,1,"BALL","Mid-American",15,"Ball State",11,37,26
"5",3,1,0,"WSU","Pac-12",194,"Washington State",-24,6,26
"6",3,1,1,"BYU","Independent",21,"Brigham Young",24,30,26
"7",4,1,0,"AKRON","Mid-American",2,"Akron",-42,14,26
"8",4,1,1,"UCF","Conference USA",27,"Central Florida",42,56,26
"9",5,1,0,"SEMIZZ","FCS",153,"Southeast Missouri State",-11,27,26
"10",5,1,1,"CMU","Mid-American",28,"Central Michigan",11,38,26
"11",6,1,0,"UMASS","Mid-American",88,"Massachusetts",-37,0,26
"12",6,1,1,"UCONN","Big East",37,"Connecticut",37,37,26
"13",7,1,0,"ID","Western Athletic",63,"Idaho",-17,3,26
"14",7,1,1,"EWU","FCS",44,"Eastern Washington",17,20,26
"15",8,1,0,"TOW","FCS",179,"Towson",-20,21,26
"16",8,1,1,"KENT","Mid-American",76,"Kent State",20,41,26
"17",9,1,0,"MTSU","Sun Belt",95,"Middle Tennessee State",-6,21,26
"18",9,1,1,"MCNST","FCS",89,"McNeese State",6,27,26
"19",10,1,0,"UNLV","Mountain West",106,"Nevada-Las Vegas",-3,27,26
"20",10,1,1,"MINN","Big Ten",96,"Minnesota",3,30,26
"21",11,1,0,"SACRST","FCS",141,"Sacramento State",-30,19,26
"22",11,1,1,"NMSU","Western Athletic",109,"New Mexico State",30,49,26
"23",12,1,0,"VAN","Southeastern",186,"Vanderbilt",-4,13,26
"24",12,1,1,"SC","Southeastern",148,"South Carolina",4,17,9
"25",13,1,0,"RICE","Conference USA",138,"Rice",-25,24,26
"26",13,1,1,"UCLA","Pac-12",183,"UCLA",25,49,26
"27",14,1,0,"NOCOL","FCS",119,"Northern Colorado",-41,0,26
"28",14,1,1,"UTAH","Pac-12",184,"Utah",41,41,26
"29",15,1,0,"SUTAH","FCS",160,"Southern Utah",-31,3,26
"30",15,1,1,"UTST","Western Athletic",185,"Utah State",31,34,26
"31",16,1,0,"WAG","FCS",191,"Wagner",-4,3,26
"32",16,1,1,"FAU","Sun Belt",48,"Florida Atlantic",4,7,26
"33",17,1,0,"BST","Mountain West",18,"Boise State",-4,13,24
"34",17,1,1,"MSU","Big Ten",94,"Michigan State",4,17,13
"35",18,1,0,"SJSU","Western Athletic",145,"San Jose State",-3,17,26
"36",18,1,1,"STAN","Pac-12",161,"Stanford",3,20,21
"37",19,1,0,"VILL","FCS",187,"Villanova",-31,10,26
"38",19,1,1,"TEM","Big East",165,"Temple",31,41,26
"39",20,1,0,"NCST","Atlantic Coast",114,"North Carolina State",-14,21,26
"40",20,1,1,"TEN","Southeastern",166,"Tennessee",14,35,26
"41",21,1,0,"IDST","FCS",64,"Idaho State",-28,21,26
"42",21,1,1,"AF","Mountain West",1,"Air Force",28,49,26
"43",22,1,0,"MICH","Big Ten",93,"Michigan",-27,14,8
"44",22,1,1,"BAMA","Southeastern",3,"Alabama",27,41,2
"45",23,1,0,"TOL","Mid-American",178,"Toledo",-7,17,26
"46",23,1,1,"ARI","Pac-12",8,"Arizona",7,24,26
"47",24,1,0,"JVILST","FCS",72,"Jacksonville State",-25,24,26
"48",24,1,1,"ARK","Southeastern",10,"Arkansas",25,49,10
"49",25,1,0,"AUB","Southeastern",13,"Auburn",-7,19,26
"50",25,1,1,"CLEM","Atlantic Coast",33,"Clemson",7,26,14
"51",26,1,0,"COL","Pac-12",35,"Colorado",-5,17,26
"52",26,1,1,"COLS","Mountain West",36,"Colorado State",5,22,26
"53",27,1,0,"FIU","Sun Belt",49,"Florida International",-20,26,26
"54",27,1,1,"DUKE","Atlantic Coast",39,"Duke",20,46,26
"55",28,1,0,"APPST","FCS",7,"Appalachian State",-22,13,26
"56",28,1,1,"ECU","Conference USA",40,"East Carolina",22,35,26
"57",29,1,0,"BG","Mid-American",20,"Bowling Green State",-13,14,26
"58",29,1,1,"UF","Southeastern",46,"Florida",13,27,23
"59",30,1,0,"MURR","FCS",102,"Murray State",-66,3,26
"60",30,1,1,"FSU","Atlantic Coast",50,"Florida State",66,69,7
"61",31,1,0,"WEBST","FCS",195,"Weber State",-27,10,26
"62",31,1,1,"FRES","Mountain West",52,"Fresno State",27,37,26
"63",32,1,0,"BUF","Mid-American",22,"Buffalo",-22,23,26
"64",32,1,1,"UGA","Southeastern",55,"Georgia",22,45,6
"65",33,1,0,"WMU","Mid-American",200,"Western Michigan",-17,7,26
"66",33,1,1,"IL","Big Ten",65,"Illinois",17,24,26
"67",34,1,0,"INDST","FCS",68,"Indiana State",-7,17,26
"68",34,1,1,"IND","Big Ten",67,"Indiana",7,24,26
"69",35,1,0,"NIU","Mid-American",120,"Northern Illinois",-1,17,26
"70",35,1,1,"IOWA","Big Ten",69,"Iowa",1,18,26
"71",36,1,0,"TULSA","Conference USA",182,"Tulsa",-15,23,26
"72",36,1,1,"ISU","Big 12",70,"Iowa State",15,38,26
"73",37,1,0,"SDKSU","FCS",151,"South Dakota State",-14,17,26
"74",37,1,1,"KU","Big 12",74,"Kansas",14,31,26
"75",38,1,0,"MIZZST","FCS",100,"Missouri State",-42,9,26
"76",38,1,1,"KSU","Big 12",75,"Kansas State",42,51,22
"77",39,1,0,"NTEX","Sun Belt",117,"North Texas",-27,14,26
"78",39,1,1,"LSU","Southeastern",80,"Louisiana State",27,41,3
"79",40,1,0,"LAMAR","FCS",78,"Lamar",-40,0,26
"80",40,1,1,"LA-L","Sun Belt",82,"Louisiana-Lafayette",40,40,26
"81",41,1,0,"W&M","FCS",201,"William & Mary",-1,6,26
"82",41,1,1,"MARY","Atlantic Coast",87,"Maryland",1,7,26
"83",42,1,0,"BC","Atlantic Coast",19,"Boston College",-9,32,26
"84",42,1,1,"MIA","Atlantic Coast",91,"Miami FL",9,41,26
"85",43,1,0,"C-ARK","FCS",26,"Central Arkansas",-22,27,26
"86",43,1,1,"OLE","Southeastern",97,"Mississippi",22,49,26
"87",44,1,0,"JST","FCS",71,"Jackson State",-47,9,26
"88",44,1,1,"MISS ST","Southeastern",98,"Mississippi State",47,56,26
"89",45,1,0,"SE LOU","FCS",154,"Southeastern Louisiana",-52,10,26
"90",45,1,1,"MIZZ","Southeastern",99,"Missouri",52,62,26
"91",46,1,0,"SO MISS","Conference USA",159,"Southern Mississippi",-29,20,26
"92",46,1,1,"NEB","Big Ten",104,"Nebraska",29,49,17
"93",47,1,0,"CAL","Pac-12",24,"California",-7,24,26
"94",47,1,1,"NEV","Mountain West",105,"Nevada",7,31,26
"95",48,1,0,"STHRN","FCS",155,"Southern",-45,21,26
"96",48,1,1,"NM","Mountain West",108,"New Mexico",45,66,26
"97",49,1,0,"ELON","FCS",45,"Elon",-62,0,26
"98",49,1,1,"UNC","Atlantic Coast",112,"North Carolina",62,62,26
"99",50,1,0,"SYR","Big East",164,"Syracuse",-1,41,26
"100",50,1,1,"NU","Big Ten",122,"Northwestern",1,42,26
"101",51,1,0,"NAVY","Independent",103,"Navy",-40,10,26
"102",51,1,1,"ND","Independent",125,"Notre Dame",40,50,26
"103",52,1,0,"PENN","Big Ten",132,"Penn State",-10,14,26
"104",52,1,1,"OHIO","Mid-American",126,"Ohio",10,24,26
"105",53,1,0,"MIA-O","Mid-American",92,"Miami OH",-46,10,26
"106",53,1,1,"OSU","Big Ten",127,"Ohio State",46,56,18
"107",54,1,0,"UT-EP","Conference USA",176,"Texas-El Paso",-17,7,26
"108",54,1,1,"OU","Big 12",128,"Oklahoma",17,24,4
"109",55,1,0,"SAVST","FCS",146,"Savannah State",-84,0,26
"110",55,1,1,"OKST","Big 12",129,"Oklahoma State",84,84,19
"111",56,1,0,"ARKST","Sun Belt",11,"Arkansas State",-23,34,26
"112",56,1,1,"ORE","Pac-12",130,"Oregon",23,57,5
"113",57,1,0,"EKU","FCS",42,"Eastern Kentucky",-42,6,26
"114",57,1,1,"PUR","Big Ten",136,"Purdue",42,48,26
"115",58,1,0,"TULA","Conference USA",181,"Tulane",-12,12,26
"116",58,1,1,"RUT","Big East",140,"Rutgers",12,24,26
"117",59,1,0,"CHATT","FCS",30,"Chattanooga",-21,13,26
"118",59,1,1,"SFU","Big East",152,"South Florida",21,34,26
"119",60,1,0,"HAW","Mountain West",60,"Hawaii",-39,10,26
"120",60,1,1,"USC","Pac-12",156,"Southern California",39,49,1
"121",61,1,0,"MEM","Conference USA",90,"Memphis",-3,17,26
"122",61,1,1,"TNMT","FCS",168,"Tennessee-Martin",3,20,26
"123",62,1,0,"WYO","Mountain West",204,"Wyoming",-20,17,26
"124",62,1,1,"TEX","Big 12",169,"Texas",20,37,15
"125",63,1,0,"HOU","Conference USA",61,"Houston",-17,13,26
"126",63,1,1,"TEXST","Western Athletic",174,"Texas State",17,30,26
"127",64,1,0,"NWST","FCS",124,"Northwestern State",-38,6,26
"128",64,1,1,"TTU","Big 12",175,"Texas Tech",38,44,26
"129",65,1,0,"SOBAMA","Sun Belt",147,"South Alabama",-2,31,26
"130",65,1,1,"UTSA","Western Athletic",177,"Texas-San Antonio",2,33,26
"131",66,1,0,"UAB","Conference USA",5,"Alabama-Birmingham",-10,29,26
"132",66,1,1,"TROY","Sun Belt",180,"Troy",10,39,26
"133",67,1,0,"RICH","FCS",139,"Richmond",-24,19,26
"134",67,1,1,"UVA","Atlantic Coast",188,"Virginia",24,43,26
"135",68,1,0,"LIB","FCS",79,"Liberty",-3,17,26
"136",68,1,1,"WAKE","Atlantic Coast",192,"Wake Forest",3,20,26
"137",69,1,0,"SDSU","Mountain West",144,"San Diego State",-9,12,26
"138",69,1,1,"WASH","Pac-12",193,"Washington",9,21,26
"139",70,1,0,"MAR ","Conference USA",86,"Marshall",-35,34,26
"140",70,1,1,"WV","Big 12",196,"West Virginia",35,69,11
"141",71,1,0,"PEAY","FCS",14,"Austin Peay",-39,10,26
"142",71,1,1,"WKU","Sun Belt",199,"Western Kentucky",39,49,26
"143",72,1,0,"UNI","FCS",121,"Northern Iowa",-5,21,26
"144",72,1,1,"WIS","Big Ten",202,"Wisconsin",5,26,12
"145",73,1,0,"PITT","Big East",133,"Pittsburgh",-14,17,26
"146",73,1,1,"YST","FCS",205,"Youngstown State",14,31,26
"147",74,1,0,"SMU","Conference USA",158,"Southern Methodist",-35,24,26
"148",74,1,1,"BAY","Big 12",16,"Baylor",35,59,26
"149",75,1,0,"UK","Southeastern",77,"Kentucky",-18,14,26
"150",75,1,1,"LOU","Big East",84,"Louisville",18,32,23
"151",76,1,0,"GT","Atlantic Coast",58,"Georgia Tech",-3,17,26
"152",76,1,1,"VT","Atlantic Coast",190,"Virginia Tech",3,20,15
"153",77,2,0,"PITT","Big East",133,"Pittsburgh",-24,10,26
"154",77,2,1,"CIN","Big East",31,"Cincinnati",24,34,26
"155",78,2,0,"UTAH","Pac-12",184,"Utah",-7,20,26
"156",78,2,1,"UTST","Western Athletic",185,"Utah State",7,27,26
"157",79,2,0,"WKU","Sun Belt",199,"Western Kentucky",-35,0,26
"158",79,2,1,"BAMA","Southeastern",3,"Alabama",35,35,1
"159",80,2,0,"OKST","Big 12",129,"Oklahoma State",-21,38,18
"160",80,2,1,"ARI","Pac-12",8,"Arizona",21,59,26
"161",81,2,0,"IL","Big Ten",65,"Illinois",-31,14,26
"162",81,2,1,"ASU","Pac-12",9,"Arizona State",31,45,26
"163",82,2,0,"MEM","Conference USA",90,"Memphis",-5,28,26
"164",82,2,1,"ARKST","Sun Belt",11,"Arkansas State",5,33,26
"165",83,2,0,"MAINE","FCS",85,"Maine",-31,3,26
"166",83,2,1,"BC","Atlantic Coast",19,"Boston College",31,34,26
"167",84,2,0,"ID","Western Athletic",63,"Idaho",-8,13,26
"168",84,2,1,"BG","Mid-American",20,"Bowling Green State",8,21,26
"169",85,2,0,"WEBST","FCS",195,"Weber State",-32,13,26
"170",85,2,1,"BYU","Independent",21,"Brigham Young",32,45,26
"171",86,2,0,"MORG","FCS",101,"Morgan State",-22,34,26
"172",86,2,1,"BUF","Mid-American",22,"Buffalo",22,56,26
"173",87,2,0,"SUTAH","FCS",160,"Southern Utah",-19,31,26
"174",87,2,1,"CAL","Pac-12",24,"California",19,50,26
"175",88,2,0,"BALL","Mid-American",15,"Ball State",-25,27,26
"176",88,2,1,"CLEM","Atlantic Coast",33,"Clemson",25,52,12
"177",89,2,0,"TAMU","Southeastern",170,"Texas A&M",-3,17,26
"178",89,2,1,"UF","Southeastern",46,"Florida",3,20,24
"179",90,2,0,"AKRON","Mid-American",2,"Akron",-3,38,26
"180",90,2,1,"FIU","Sun Belt",49,"Florida International",3,41,26
"181",91,2,0,"SAVST","FCS",146,"Savannah State",-55,0,26
"182",91,2,1,"FSU","Atlantic Coast",50,"Florida State",55,55,6
"183",92,2,0,"MIZZ","Southeastern",99,"Missouri",-21,20,26
"184",92,2,1,"UGA","Southeastern",55,"Georgia",21,41,7
"185",93,2,0,"PRESB","FCS",135,"Presbyterian",-56,3,26
"186",93,2,1,"GT","Atlantic Coast",58,"Georgia Tech",56,59,26
"187",94,2,0,"EMU","Mid-American",43,"Eastern Michigan",-17,14,26
"188",94,2,1,"ILST","FCS",66,"Illinois State",17,31,26
"189",95,2,0,"UMASS","Mid-American",88,"Massachusetts",-39,6,26
"190",95,2,1,"IND","Big Ten",67,"Indiana",39,45,26
"191",96,2,0,"IOWA","Big Ten",69,"Iowa",-3,6,26
"192",96,2,1,"ISU","Big 12",70,"Iowa State",3,9,26
"193",97,2,0,"MIA","Atlantic Coast",91,"Miami FL",-39,13,26
"194",97,2,1,"KSU","Big 12",75,"Kansas State",39,52,21
"195",98,2,0,"KENT","Mid-American",76,"Kent State",-33,14,26
"196",98,2,1,"UK","Southeastern",77,"Kentucky",33,47,26
"197",99,2,0,"WASH","Pac-12",193,"Washington",-38,3,26
"198",99,2,1,"LSU","Southeastern",80,"Louisiana State",38,41,3
"199",100,2,0,"HOU","Conference USA",61,"Houston",-7,49,26
"200",100,2,1,"LTU","Western Athletic",81,"Louisiana Tech",7,56,26
"201",101,2,0,"TROY","Sun Belt",180,"Troy",-13,24,26
"202",101,2,1,"LA-L","Sun Belt",82,"Louisiana-Lafayette",13,37,26
"203",102,2,0,"ARK","Southeastern",10,"Arkansas",-3,31,8
"204",102,2,1,"LA-M","Sun Belt",83,"Louisiana-Monroe",3,34,26
"205",103,2,0,"MIZZST","FCS",100,"Missouri State",-28,7,26
"206",103,2,1,"LOU","Big East",84,"Louisville",28,35,23
"207",104,2,0,"WCU","FCS",197,"Western Carolina",-28,24,26
"208",104,2,1,"MAR ","Conference USA",86,"Marshall",28,52,26
"209",105,2,0,"TEM","Big East",165,"Temple",-9,27,26
"210",105,2,1,"MARY","Atlantic Coast",87,"Maryland",9,36,26
"211",106,2,0,"SILLN","FCS",157,"Southern Illinois",-16,14,26
"212",106,2,1,"MIA-O","Mid-American",92,"Miami OH",16,30,26
"213",107,2,0,"AF","Mountain West",1,"Air Force",-6,25,26
"214",107,2,1,"MICH","Big Ten",93,"Michigan",6,31,19
"215",108,2,0,"CMU","Mid-American",28,"Central Michigan",-34,7,26
"216",108,2,1,"MSU","Big Ten",94,"Michigan State",34,41,11
"217",109,2,0,"FAU","Sun Belt",48,"Florida Atlantic",-14,17,26
"218",109,2,1,"MTSU","Sun Belt",95,"Middle Tennessee State",14,31,26
"219",110,2,0,"NHAMP","FCS",107,"New Hampshire",-37,7,26
"220",110,2,1,"MINN","Big Ten",96,"Minnesota",37,44,26
"221",111,2,0,"UT-EP","Conference USA",176,"Texas-El Paso",-18,10,26
"222",111,2,1,"OLE","Southeastern",97,"Mississippi",18,28,26
"223",112,2,0,"AUB","Southeastern",13,"Auburn",-18,10,26
"224",112,2,1,"MISS ST","Southeastern",98,"Mississippi State",18,28,26
"225",113,2,0,"UCONN","Big East",37,"Connecticut",-3,7,26
"226",113,2,1,"NCST","Atlantic Coast",114,"North Carolina State",3,10,26
"227",114,2,0,"COLS","Mountain West",36,"Colorado State",-15,7,26
"228",114,2,1,"NDKST","FCS",116,"North Dakota State",15,22,26
"229",115,2,0,"TEXSTH","FCS",173,"Texas Southern",-27,7,26
"230",115,2,1,"NTEX","Sun Belt",117,"North Texas",27,34,26
"231",116,2,0,"UNLV","Mountain West",106,"Nevada-Las Vegas",-3,14,26
"232",116,2,1,"NOAZ","FCS",118,"Northern Arizona",3,17,26
"233",117,2,0,"TNMT","FCS",168,"Tennessee-Martin",-28,7,26
"234",117,2,1,"NIU","Mid-American",120,"Northern Illinois",28,35,26
"235",118,2,0,"VAN","Southeastern",186,"Vanderbilt",-10,13,26
"236",118,2,1,"NU","Big Ten",122,"Northwestern",10,23,26
"237",119,2,0,"PUR","Big Ten",136,"Purdue",-3,17,26
"238",119,2,1,"ND","Independent",125,"Notre Dame",3,20,22
"239",120,2,0,"NMSU","Western Athletic",109,"New Mexico State",-27,24,26
"240",120,2,1,"OHIO","Mid-American",126,"Ohio",27,51,26
