"","game.id","w.id","l.id","week","w.conference","w.abbrvs","w.rank","w.name","w.pts","location","l.pts","l.name","l.rank","l.abbrvs","l.conference"
"519",1,1,96,1,"Pac-12","ASU",26,"Arizona State",63,"",6,"Northern Arizona",26,"NOAZ","FCS"
"190",2,2,132,1,"Mid-American","BALL",26,"Ball State",37,"",26,"Eastern Michigan",26,"EMU","Mid-American"
"797",3,3,108,1,"Independent","BYU",26,"Brigham Young",30,"",6,"Washington State",26,"WSU","Pac-12"
"15",4,4,110,1,"Conference USA","UCF",26,"Central Florida",56,"@",14,"Akron",26,"AKRON","Mid-American"
"620",5,5,134,1,"Mid-American","CMU",26,"Central Michigan",38,"",27,"Southeast Missouri State",26,"SEMIZZ","FCS"
"371",6,6,133,1,"Big East","UCONN",26,"Connecticut",37,"",0,"Massachusetts",26,"UMASS","Mid-American"
"259",7,7,129,1,"FCS","EWU",26,"Eastern Washington",20,"@",3,"Idaho",26,"ID","Western Athletic"
"722",8,8,135,1,"Mid-American","KENT",26,"Kent State",41,"",21,"Towson",26,"TOW","FCS"
"417",9,9,92,1,"FCS","MCNST",26,"McNeese State",27,"@",21,"Middle Tennessee State",26,"MTSU","Sun Belt"
"464",10,10,123,1,"Big Ten","MINN",26,"Minnesota",30,"@",27,"Nevada-Las Vegas",26,"UNLV","Mountain West"
"582",11,11,100,1,"Western Athletic","NMSU",26,"New Mexico State",49,"",19,"Sacramento State",26,"SACRST","FCS"
"759",12,12,120,1,"Southeastern","SC",9,"South Carolina",17,"@",13,"Vanderbilt",26,"VAN","Southeastern"
"573",13,13,99,1,"Pac-12","UCLA",26,"UCLA",49,"@",24,"Rice",26,"RICE","Conference USA"
"520",14,14,136,1,"Pac-12","UTAH",26,"Utah",41,"",0,"Northern Colorado",26,"NOCOL","FCS"
"649",15,15,137,1,"Western Athletic","UTST",26,"Utah State",34,"",3,"Southern Utah",26,"SUTAH","FCS"
"777",16,16,138,1,"Sun Belt","FAU",26,"Florida Atlantic",7,"",3,"Wagner",26,"WAG","FCS"
"84",17,17,112,1,"Big Ten","MSU",13,"Michigan State",17,"",13,"Boise State",24,"BST","Mountain West"
"591",18,18,102,1,"Pac-12","STAN",21,"Stanford",20,"",17,"San Jose State",26,"SJSU","Western Athletic"
"761",19,19,139,1,"Big East","TEM",26,"Temple",41,"",10,"Villanova",26,"VILL","FCS"
"509",20,20,93,1,"Southeastern","TEN",26,"Tennessee",35,"",21,"North Carolina State",26,"NCST","Atlantic Coast"
