"","game.id","week","outcome","abbrvs","conference","name","pts","rank"
"1",0,0,2,"LOU","Big East","Lousiville",0,25
"2",0,0,2,"BST","Mountain West","Boise State",0,24
"3",0,0,2,"UF","Southeastern","Florida",0,23
"4",0,0,2,"KST","Big 12","Kansas State",0,22
"5",0,0,2,"STAN","Pac-12","Stanford",0,21
"6",0,0,2,"TCU","Big 12","Texas Christian",0,20
"7",0,0,2,"OKST","Big 12","Oklahoma State",0,19
"8",0,0,2,"OSU","Big Ten","Ohio State",0,18
"9",0,0,2,"NEB","Big Ten","Nebraska",0,17
"10",0,0,2,"VT","Atlantic Coastal","Virginia Tech",0,16
"11",0,0,2,"TEX","Big 12","Texas",0,15
"12",0,0,2,"CLEM","Atlantic Coastal","Clemson",0,14
"13",0,0,2,"MSU","Big Ten","Michigan State",0,13
"14",0,0,2,"WIS","Big Ten","Wisconsin",0,12
"15",0,0,2,"WV","Big 12","West Virginia",0,11
"16",0,0,2,"ARK","Southeastern","Arkansas",0,10
"17",0,0,2,"SC","Southeastern","South Carolina",0,9
"18",0,0,2,"MICH","Big Ten","Michigan",0,8
"19",0,0,2,"FSU","Atlantic Coastal","Florida State",0,7
"20",0,0,2,"UGA","Southeastern","Georgia",0,6
"21",0,0,2,"ORE","Pac-12","Oregon",0,5
"22",0,0,2,"OU","Big 12","Oklahoma",0,4
"23",0,0,2,"LSU","Southeastern","Louisiana State",0,3
"24",0,0,2,"BAMA","Southeastern","Alabama",0,2
"25",0,0,2,"USC","Pac-12","Southern California",0,1
"26",1,1,0,"NOAZ","FCS","Northern Arizona",6,26
"27",1,1,1,"ASU","Pac-12","Arizona State",63,26
"28",2,1,0,"EMU","Mid-American","Eastern Michigan",26,26
"29",2,1,1,"BALL","Mid-American","Ball State",37,26
"30",3,1,0,"WSU","Pac-12","Washington State",6,26
"31",3,1,1,"BYU","Independent","Brigham Young",30,26
"32",4,1,0,"AKRON","Mid-American","Akron",14,26
"33",4,1,1,"UCF","Conference USA","Central Florida",56,26
"34",5,1,0,"SEMIZZ","FCS","Southeast Missouri State",27,26
"35",5,1,1,"CMU","Mid-American","Central Michigan",38,26
"36",6,1,0,"UMASS","Mid-American","Massachusetts",0,26
"37",6,1,1,"UCONN","Big East","Connecticut",37,26
"38",7,1,0,"ID","Western Athletic","Idaho",3,26
"39",7,1,1,"EWU","FCS","Eastern Washington",20,26
"40",8,1,0,"TOW","FCS","Towson",21,26
"41",8,1,1,"KENT","Mid-American","Kent State",41,26
"42",9,1,0,"MTSU","Sun Belt","Middle Tennessee State",21,26
"43",9,1,1,"MCNST","FCS","McNeese State",27,26
"44",10,1,0,"UNLV","Mountain West","Nevada-Las Vegas",27,26
"45",10,1,1,"MINN","Big Ten","Minnesota",30,26
"46",11,1,0,"SACRST","FCS","Sacramento State",19,26
"47",11,1,1,"NMSU","Western Athletic","New Mexico State",49,26
"48",12,1,0,"VAN","Southeastern","Vanderbilt",13,26
"49",12,1,1,"SC","Southeastern","South Carolina",17,9
"50",13,1,0,"RICE","Conference USA","Rice",24,26
"51",13,1,1,"UCLA","Pac-12","UCLA",49,26
"52",14,1,0,"NOCOL","FCS","Northern Colorado",0,26
"53",14,1,1,"UTAH","Pac-12","Utah",41,26
