"","id","name","conference","abbrvs"
"1",1,"Air Force","Mountain West","AF"
"2",2,"Akron","Mid-American","AKRON"
"3",3,"Alabama","Southeastern","BAMA"
"4",4,"Alabama A&M","FCS","BAMA A&M"
"5",5,"Alabama-Birmingham","Conference USA","UAB"
"6",6,"Alcorn State","FCS","ALCORN"
"7",7,"Appalachian State","FCS","APPST"
"8",8,"Arizona","Pac-12","ARI"
"9",9,"Arizona State","Pac-12","ASU"
"10",10,"Arkansas","Southeastern","ARK"
"11",11,"Arkansas State","Sun Belt","ARKST"
"12",12,"Army","Independent","ARMY"
"13",13,"Auburn","Southeastern","AUB"
"14",14,"Austin Peay","FCS","PEAY"
"15",15,"Ball State","Mid-American","BALL"
"16",16,"Baylor","Big 12","BAY"
"17",17,"Bethune-Cookman","FCS","BETHCK"
"18",18,"Boise State","Mountain West","BST"
"19",19,"Boston College","Atlantic Coast","BC"
"20",20,"Bowling Green State","Mid-American","BG"
"21",21,"Brigham Young","Independent","BYU"
"22",22,"Buffalo","Mid-American","BUF"
"23",23,"Cal Poly","FCS","CAL-P"
"24",24,"California","Pac-12","CAL"
"25",25,"California-Davis","FCS","UC-D"
"26",26,"Central Arkansas","FCS","C-ARK"
"27",27,"Central Florida","Conference USA","UCF"
"28",28,"Central Michigan","Mid-American","CMU"
"29",29,"Charleston Southern","FCS","CHSOU"
"30",30,"Chattanooga","FCS","CHATT"
"31",31,"Cincinnati","Big East","CIN"
"32",32,"Citadel","FCS","CIT"
"33",33,"Clemson","Atlantic Coast","CLEM"
"34",34,"Coastal Carolina","FCS","CC"
"35",35,"Colorado","Pac-12","COL"
"36",36,"Colorado State","Mountain West","COLS"
"37",37,"Connecticut","Big East","UCONN"
"38",38,"Delaware State","FCS","DELST"
"39",39,"Duke","Atlantic Coast","DUKE"
"40",40,"East Carolina","Conference USA","ECU"
"41",41,"Eastern Illinois","FCS","EILLN"
"42",42,"Eastern Kentucky","FCS","EKU"
"43",43,"Eastern Michigan","Mid-American","EMU"
"44",44,"Eastern Washington","FCS","EWU"
"45",45,"Elon","FCS","ELON"
"46",46,"Florida","Southeastern","UF"
"47",47,"Florida A&M","FCS","F A&M"
"48",48,"Florida Atlantic","Sun Belt","FAU"
"49",49,"Florida International","Sun Belt","FIU"
"50",50,"Florida State","Atlantic Coast","FSU"
"51",51,"Fordham","FCS","FORD"
"52",52,"Fresno State","Mountain West","FRES"
"53",53,"Furman","FCS","FUR"
"54",54,"Gardner-Webb","FCS","GARDWB"
"55",55,"Georgia","Southeastern","UGA"
"56",56,"Georgia Southern","FCS","GA SOU"
"57",57,"Georgia State","FCS","GEORST"
"58",58,"Georgia Tech","Atlantic Coast","GT"
"59",59,"Grambling State","FCS","GRAMB"
"60",60,"Hawaii","Mountain West","HAW"
"61",61,"Houston","Conference USA","HOU"
"62",62,"Howard","FCS","HOW"
"63",63,"Idaho","Western Athletic","ID"
"64",64,"Idaho State","FCS","IDST"
"65",65,"Illinois","Big Ten","IL"
"66",66,"Illinois State","FCS","ILST"
"67",67,"Indiana","Big Ten","IND"
"68",68,"Indiana State","FCS","INDST"
"69",69,"Iowa","Big Ten","IOWA"
"70",70,"Iowa State","Big 12","ISU"
"71",71,"Jackson State","FCS","JST"
"72",72,"Jacksonville State","FCS","JVILST"
"73",73,"James Madison","FCS","JAMES"
"74",74,"Kansas","Big 12","KU"
"75",75,"Kansas State","Big 12","KSU"
"76",76,"Kent State","Mid-American","KENT"
"77",77,"Kentucky","Southeastern","UK"
"78",78,"Lamar","FCS","LAMAR"
"79",79,"Liberty","FCS","LIB"
"80",80,"Louisiana State","Southeastern","LSU"
"81",81,"Louisiana Tech","Western Athletic","LTU"
"82",82,"Louisiana-Lafayette","Sun Belt","LA-L"
"83",83,"Louisiana-Monroe","Sun Belt","LA-M"
"84",84,"Louisville","Big East","LOU"
"85",85,"Maine","FCS","MAINE"
"86",86,"Marshall","Conference USA","MAR "
"87",87,"Maryland","Atlantic Coast","MARY"
"88",88,"Massachusetts","Mid-American","UMASS"
"89",89,"McNeese State","FCS","MCNST"
"90",90,"Memphis","Conference USA","MEM"
"91",91,"Miami FL","Atlantic Coast","MIA"
"92",92,"Miami OH","Mid-American","MIA-O"
"93",93,"Michigan","Big Ten","MICH"
"94",94,"Michigan State","Big Ten","MSU"
"95",95,"Middle Tennessee State","Sun Belt","MTSU"
"96",96,"Minnesota","Big Ten","MINN"
"97",97,"Mississippi","Southeastern","OLE"
"98",98,"Mississippi State","Southeastern","MISS ST"
"99",99,"Missouri","Southeastern","MIZZ"
"100",100,"Missouri State","FCS","MIZZST"
"101",101,"Morgan State","FCS","MORG"
"102",102,"Murray State","FCS","MURR"
"103",103,"Navy","Independent","NAVY"
"104",104,"Nebraska","Big Ten","NEB"
"105",105,"Nevada","Mountain West","NEV"
"106",106,"Nevada-Las Vegas","Mountain West","UNLV"
"107",107,"New Hampshire","FCS","NHAMP"
"108",108,"New Mexico","Mountain West","NM"
"109",109,"New Mexico State","Western Athletic","NMSU"
"110",110,"Nicholls State","FCS","NICHST"
"111",111,"Norfolk State","FCS","NFLKST"
"112",112,"North Carolina","Atlantic Coast","UNC"
"113",113,"North Carolina Central","FCS","NCC"
"114",114,"North Carolina State","Atlantic Coast","NCST"
"115",115,"North Dakota","FCS","NDK"
"116",116,"North Dakota State","FCS","NDKST"
"117",117,"North Texas","Sun Belt","NTEX"
"118",118,"Northern Arizona","FCS","NOAZ"
"119",119,"Northern Colorado","FCS","NOCOL"
"120",120,"Northern Illinois","Mid-American","NIU"
"121",121,"Northern Iowa","FCS","UNI"
"122",122,"Northwestern","Big Ten","NU"
"123",123,"Northwestern Oklahoma State","Division II","NWOKST"
"124",124,"Northwestern State","FCS","NWST"
"125",125,"Notre Dame","Independent","ND"
"126",126,"Ohio","Mid-American","OHIO"
"127",127,"Ohio State","Big Ten","OSU"
"128",128,"Oklahoma","Big 12","OU"
"129",129,"Oklahoma State","Big 12","OKST"
"130",130,"Oregon","Pac-12","ORE"
"131",131,"Oregon State","Pac-12","ORST"
"132",132,"Penn State","Big Ten","PENN"
"133",133,"Pittsburgh","Big East","PITT"
"134",134,"Portland State","FCS","PORTST"
"135",135,"Presbyterian","FCS","PRESB"
"136",136,"Purdue","Big Ten","PUR"
"137",137,"Rhode Island","FCS","RI"
"138",138,"Rice","Conference USA","RICE"
"139",139,"Richmond","FCS","RICH"
"140",140,"Rutgers","Big East","RUT"
"141",141,"Sacramento State","FCS","SACRST"
