"","week","w.rank","winner","w.pts","location","l.rank","loser","l.pts"
"1","1","Unranked","Arizona State","63","","Unranked","Northern Arizona","6"
"2","1","Unranked","Ball State","37","","Unranked","Eastern Michigan","26"
"3","1","Unranked","Brigham Young","30","","Unranked","Washington State","6"
"4","1","Unranked","Central Florida","56","@","Unranked","Akron","14"
"5","1","Unranked","Central Michigan","38","","Unranked","Southeast Missouri State","27"
"6","1","Unranked","Connecticut","37","","Unranked","Massachusetts","0"
"7","1","Unranked","Eastern Washington","20","@","Unranked","Idaho","3"
"8","1","Unranked","Kent State","41","","Unranked","Towson","21"
"9","1","Unranked","McNeese State","27","@","Unranked","Middle Tennessee State","21"
"10","1","Unranked","Minnesota","30","@","Unranked","Nevada-Las Vegas","27"
"11","1","Unranked","New Mexico State","49","","Unranked","Sacramento State","19"
"12","1","9","South Carolina","17","@","Unranked","Vanderbilt","13"
"13","1","Unranked","UCLA","49","@","Unranked","Rice","24"
"14","1","Unranked","Utah","41","","Unranked","Northern Colorado","0"
"15","1","Unranked","Utah State","34","","Unranked","Southern Utah","3"
"16","1","Unranked","Florida Atlantic","7","","Unranked","Wagner","3"
"17","1","13","Michigan State","17","","24","Boise State","13"
"18","1","21","Stanford","20","","Unranked","San Jose State","17"
"19","1","Unranked","Temple","41","","Unranked","Villanova","10"
"20","1","Unranked","Tennessee","35","","Unranked","North Carolina State","21"
"21","1","Unranked","Air Force","49","","Unranked","Idaho State","21"
"22","1","2","Alabama","41","","8","Michigan","14"
"23","1","Unranked","Arizona","24","","Unranked","Toledo","17"
"24","1","10","Arkansas","49","","Unranked","Jacksonville State","24"
"25","1","14","Clemson","26","","Unranked","Auburn","19"
"26","1","Unranked","Colorado State","22","","Unranked","Colorado","17"
"27","1","Unranked","Duke","46","","Unranked","Florida International","26"
"28","1","Unranked","East Carolina","35","","Unranked","Appalachian State","13"
"29","1","23","Florida","27","","Unranked","Bowling Green State","14"
"30","1","7","Florida State","69","","Unranked","Murray State","3"
"31","1","Unranked","Fresno State","37","","Unranked","Weber State","10"
"32","1","6","Georgia","45","","Unranked","Buffalo","23"
"33","1","Unranked","Illinois","24","","Unranked","Western Michigan","7"
"34","1","Unranked","Indiana","24","","Unranked","Indiana State","17"
"35","1","Unranked","Iowa","18","@","Unranked","Northern Illinois","17"
"36","1","Unranked","Iowa State","38","","Unranked","Tulsa","23"
"37","1","Unranked","Kansas","31","","Unranked","South Dakota State","17"
"38","1","22","Kansas State","51","","Unranked","Missouri State","9"
"39","1","3","Louisiana State","41","","Unranked","North Texas","14"
"40","1","Unranked","Louisiana-Lafayette","40","","Unranked","Lamar","0"
"41","1","Unranked","Maryland","7","","Unranked","William & Mary","6"
"42","1","Unranked","Miami FL","41","@","Unranked","Boston College","32"
"43","1","Unranked","Mississippi","49","","Unranked","Central Arkansas","27"
"44","1","Unranked","Mississippi State","56","","Unranked","Jackson State","9"
"45","1","Unranked","Missouri","62","","Unranked","Southeastern Louisiana","10"
"46","1","17","Nebraska","49","","Unranked","Southern Mississippi","20"
"47","1","Unranked","Nevada","31","@","Unranked","California","24"
"48","1","Unranked","New Mexico","66","","Unranked","Southern","21"
"49","1","Unranked","North Carolina","62","","Unranked","Elon","0"
"50","1","Unranked","Northwestern","42","@","Unranked","Syracuse","41"
"51","1","Unranked","Notre Dame","50","","Unranked","Navy","10"
"52","1","Unranked","Ohio","24","@","Unranked","Penn State","14"
"53","1","18","Ohio State","56","","Unranked","Miami OH","10"
"54","1","4","Oklahoma","24","@","Unranked","Texas-El Paso","7"
"55","1","19","Oklahoma State","84","","Unranked","Savannah State","0"
"56","1","5","Oregon","57","","Unranked","Arkansas State","34"
"57","1","Unranked","Purdue","48","","Unranked","Eastern Kentucky","6"
"58","1","Unranked","Rutgers","24","@","Unranked","Tulane","12"
"59","1","Unranked","South Florida","34","","Unranked","Chattanooga","13"
"60","1","1","Southern California","49","","Unranked","Hawaii","10"
"61","1","Unranked","Tennessee-Martin","20","@","Unranked","Memphis","17"
"62","1","15","Texas","37","","Unranked","Wyoming","17"
"63","1","Unranked","Texas State","30","@","Unranked","Houston","13"
"64","1","Unranked","Texas Tech","44","","Unranked","Northwestern State","6"
"65","1","Unranked","Texas-San Antonio","33","@","Unranked","South Alabama","31"
"66","1","Unranked","Troy","39","@","Unranked","Alabama-Birmingham","29"
"67","1","Unranked","Virginia","43","","Unranked","Richmond","19"
"68","1","Unranked","Wake Forest","20","","Unranked","Liberty","17"
"69","1","Unranked","Washington","21","","Unranked","San Diego State","12"
"70","1","11","West Virginia","69","","Unranked","Marshall","34"
"71","1","Unranked","Western Kentucky","49","","Unranked","Austin Peay","10"
"72","1","12","Wisconsin","26","","Unranked","Northern Iowa","21"
"73","1","Unranked","Youngstown State","31","@","Unranked","Pittsburgh","17"
"74","1","Unranked","Baylor","59","","Unranked","Southern Methodist","24"
"75","1","23","Louisville","32","","Unranked","Kentucky","14"
"76","1","15","Virginia Tech","20","","Unranked","Georgia Tech","17"
"77","2","Unranked","Cincinnati","34","","Unranked","Pittsburgh","10"
"78","2","Unranked","Utah State","27","","Unranked","Utah","20"
"79","2","1","Alabama","35","","Unranked","Western Kentucky","0"
"80","2","Unranked","Arizona","59","","18","Oklahoma State","38"
"81","2","Unranked","Arizona State","45","","Unranked","Illinois","14"
"82","2","Unranked","Arkansas State","33","","Unranked","Memphis","28"
