"","game.id","outcome","abbrvs","conference","name","pts","rank"
"1",1,"l","NOAZ","FCS","Northern Arizona",6,26
"2",1,"w","ASU","Pac-12","Arizona State",63,26
"3",2,"l","EMU","Mid-American","Eastern Michigan",26,26
"4",2,"w","BALL","Mid-American","Ball State",37,26
"5",3,"l","WSU","Pac-12","Washington State",6,26
"6",3,"w","BYU","Independent","Brigham Young",30,26
"7",4,"l","AKRON","Mid-American","Akron",14,26
"8",4,"w","UCF","Conference USA","Central Florida",56,26
"9",5,"l","SEMIZZ","FCS","Southeast Missouri State",27,26
"10",5,"w","CMU","Mid-American","Central Michigan",38,26
"11",6,"l","UMASS","Mid-American","Massachusetts",0,26
"12",6,"w","UCONN","Big East","Connecticut",37,26
"13",7,"l","ID","Western Athletic","Idaho",3,26
"14",7,"w","EWU","FCS","Eastern Washington",20,26
"15",8,"l","TOW","FCS","Towson",21,26
"16",8,"w","KENT","Mid-American","Kent State",41,26
"17",9,"l","MTSU","Sun Belt","Middle Tennessee State",21,26
"18",9,"w","MCNST","FCS","McNeese State",27,26
"19",10,"l","UNLV","Mountain West","Nevada-Las Vegas",27,26
"20",10,"w","MINN","Big Ten","Minnesota",30,26
"21",11,"l","SACRST","FCS","Sacramento State",19,26
"22",11,"w","NMSU","Western Athletic","New Mexico State",49,26
"23",12,"l","VAN","Southeastern","Vanderbilt",13,26
"24",12,"w","SC","Southeastern","South Carolina",17,9
"25",13,"l","RICE","Conference USA","Rice",24,26
"26",13,"w","UCLA","Pac-12","UCLA",49,26
"27",14,"l","NOCOL","FCS","Northern Colorado",0,26
"28",14,"w","UTAH","Pac-12","Utah",41,26
"29",15,"l","SUTAH","FCS","Southern Utah",3,26
"30",15,"w","UTST","Western Athletic","Utah State",34,26
"31",16,"l","WAG","FCS","Wagner",3,26
"32",16,"w","FAU","Sun Belt","Florida Atlantic",7,26
"33",17,"l","BST","Mountain West","Boise State",13,24
"34",17,"w","MSU","Big Ten","Michigan State",17,13
"35",18,"l","SJSU","Western Athletic","San Jose State",17,26
"36",18,"w","STAN","Pac-12","Stanford",20,21
"37",19,"l","VILL","FCS","Villanova",10,26
"38",19,"w","TEM","Big East","Temple",41,26
"39",20,"l","NCST","Atlantic Coast","North Carolina State",21,26
"40",20,"w","TEN","Southeastern","Tennessee",35,26
"41",21,"l","IDST","FCS","Idaho State",21,26
"42",21,"w","AF","Mountain West","Air Force",49,26
"43",22,"l","MICH","Big Ten","Michigan",14,8
"44",22,"w","BAMA","Southeastern","Alabama",41,2
"45",23,"l","TOL","Mid-American","Toledo",17,26
"46",23,"w","ARI","Pac-12","Arizona",24,26
"47",24,"l","JVILST","FCS","Jacksonville State",24,26
"48",24,"w","ARK","Southeastern","Arkansas",49,10
"49",25,"l","AUB","Southeastern","Auburn",19,26
"50",25,"w","CLEM","Atlantic Coast","Clemson",26,14
"51",26,"l","COL","Pac-12","Colorado",17,26
"52",26,"w","COLS","Mountain West","Colorado State",22,26
"53",27,"l","FIU","Sun Belt","Florida International",26,26
"54",27,"w","DUKE","Atlantic Coast","Duke",46,26
"55",28,"l","APPST","FCS","Appalachian State",13,26
"56",28,"w","ECU","Conference USA","East Carolina",35,26
"57",29,"l","BG","Mid-American","Bowling Green State",14,26
"58",29,"w","UF","Southeastern","Florida",27,23
"59",30,"l","MURR","FCS","Murray State",3,26
"60",30,"w","FSU","Atlantic Coast","Florida State",69,7
"61",31,"l","WEBST","FCS","Weber State",10,26
"62",31,"w","FRES","Mountain West","Fresno State",37,26
"63",32,"l","BUF","Mid-American","Buffalo",23,26
"64",32,"w","UGA","Southeastern","Georgia",45,6
"65",33,"l","WMU","Mid-American","Western Michigan",7,26
"66",33,"w","IL","Big Ten","Illinois",24,26
"67",34,"l","INDST","FCS","Indiana State",17,26
"68",34,"w","IND","Big Ten","Indiana",24,26
"69",35,"l","NIU","Mid-American","Northern Illinois",17,26
"70",35,"w","IOWA","Big Ten","Iowa",18,26
"71",36,"l","TULSA","Conference USA","Tulsa",23,26
"72",36,"w","ISU","Big 12","Iowa State",38,26
"73",37,"l","SDKSU","FCS","South Dakota State",17,26
"74",37,"w","KU","Big 12","Kansas",31,26
"75",38,"l","MIZZST","FCS","Missouri State",9,26
"76",38,"w","KSU","Big 12","Kansas State",51,22
"77",39,"l","NTEX","Sun Belt","North Texas",14,26
"78",39,"w","LSU","Southeastern","Louisiana State",41,3
"79",40,"l","LAMAR","FCS","Lamar",0,26
"80",40,"w","LA-L","Sun Belt","Louisiana-Lafayette",40,26
"81",41,"l","W&M","FCS","William & Mary",6,26
"82",41,"w","MARY","Atlantic Coast","Maryland",7,26
"83",42,"l","BC","Atlantic Coast","Boston College",32,26
"84",42,"w","MIA","Atlantic Coast","Miami FL",41,26
"85",43,"l","C-ARK","FCS","Central Arkansas",27,26
"86",43,"w","OLE","Southeastern","Mississippi",49,26
"87",44,"l","JST","FCS","Jackson State",9,26
"88",44,"w","MISS ST","Southeastern","Mississippi State",56,26
"89",45,"l","SE LOU","FCS","Southeastern Louisiana",10,26
"90",45,"w","MIZZ","Southeastern","Missouri",62,26
"91",46,"l","SO MISS","Conference USA","Southern Mississippi",20,26
"92",46,"w","NEB","Big Ten","Nebraska",49,17
"93",47,"l","CAL","Pac-12","California",24,26
"94",47,"w","NEV","Mountain West","Nevada",31,26
"95",48,"l","STHRN","FCS","Southern",21,26
"96",48,"w","NM","Mountain West","New Mexico",66,26
"97",49,"l","ELON","FCS","Elon",0,26
"98",49,"w","UNC","Atlantic Coast","North Carolina",62,26
"99",50,"l","SYR","Big East","Syracuse",41,26
"100",50,"w","NU","Big Ten","Northwestern",42,26
"101",51,"l","NAVY","Independent","Navy",10,26
"102",51,"w","ND","Independent","Notre Dame",50,26
"103",52,"l","PENN","Big Ten","Penn State",14,26
"104",52,"w","OHIO","Mid-American","Ohio",24,26
"105",53,"l","MIA-O","Mid-American","Miami OH",10,26
"106",53,"w","OSU","Big Ten","Ohio State",56,18
"107",54,"l","UT-EP","Conference USA","Texas-El Paso",7,26
"108",54,"w","OU","Big 12","Oklahoma",24,4
"109",55,"l","SAVST","FCS","Savannah State",0,26
"110",55,"w","OKST","Big 12","Oklahoma State",84,19
"111",56,"l","ARKST","Sun Belt","Arkansas State",34,26
"112",56,"w","ORE","Pac-12","Oregon",57,5
"113",57,"l","EKU","FCS","Eastern Kentucky",6,26
"114",57,"w","PUR","Big Ten","Purdue",48,26
"115",58,"l","TULA","Conference USA","Tulane",12,26
"116",58,"w","RUT","Big East","Rutgers",24,26
"117",59,"l","CHATT","FCS","Chattanooga",13,26
"118",59,"w","SFU","Big East","South Florida",34,26
"119",60,"l","HAW","Mountain West","Hawaii",10,26
"120",60,"w","USC","Pac-12","Southern California",49,1
"121",61,"l","MEM","Conference USA","Memphis",17,26
"122",61,"w","TNMT","FCS","Tennessee-Martin",20,26
"123",62,"l","WYO","Mountain West","Wyoming",17,26
"124",62,"w","TEX","Big 12","Texas",37,15
"125",63,"l","HOU","Conference USA","Houston",13,26
"126",63,"w","TEXST","Western Athletic","Texas State",30,26
"127",64,"l","NWST","FCS","Northwestern State",6,26
"128",64,"w","TTU","Big 12","Texas Tech",44,26
"129",65,"l","SOBAMA","Sun Belt","South Alabama",31,26
"130",65,"w","UTSA","Western Athletic","Texas-San Antonio",33,26
"131",66,"l","UAB","Conference USA","Alabama-Birmingham",29,26
"132",66,"w","TROY","Sun Belt","Troy",39,26
"133",67,"l","RICH","FCS","Richmond",19,26
"134",67,"w","UVA","Atlantic Coast","Virginia",43,26
"135",68,"l","LIB","FCS","Liberty",17,26
"136",68,"w","WAKE","Atlantic Coast","Wake Forest",20,26
"137",69,"l","SDSU","Mountain West","San Diego State",12,26
"138",69,"w","WASH","Pac-12","Washington",21,26
"139",70,"l","MAR ","Conference USA","Marshall",34,26
"140",70,"w","WV","Big 12","West Virginia",69,11
"141",71,"l","PEAY","FCS","Austin Peay",10,26
"142",71,"w","WKU","Sun Belt","Western Kentucky",49,26
"143",72,"l","UNI","FCS","Northern Iowa",21,26
"144",72,"w","WIS","Big Ten","Wisconsin",26,12
"145",73,"l","PITT","Big East","Pittsburgh",17,26
"146",73,"w","YST","FCS","Youngstown State",31,26
"147",74,"l","SMU","Conference USA","Southern Methodist",24,26
"148",74,"w","BAY","Big 12","Baylor",59,26
"149",75,"l","UK","Southeastern","Kentucky",14,26
"150",75,"w","LOU","Big East","Louisville",32,23
"151",76,"l","GT","Atlantic Coast","Georgia Tech",17,26
"152",76,"w","VT","Atlantic Coast","Virginia Tech",20,15
"153",77,"l","PITT","Big East","Pittsburgh",10,26
"154",77,"w","CIN","Big East","Cincinnati",34,26
"155",78,"l","UTAH","Pac-12","Utah",20,26
"156",78,"w","UTST","Western Athletic","Utah State",27,26
"157",79,"l","WKU","Sun Belt","Western Kentucky",0,26
"158",79,"w","BAMA","Southeastern","Alabama",35,1
"159",80,"l","OKST","Big 12","Oklahoma State",38,18
"160",80,"w","ARI","Pac-12","Arizona",59,26
"161",81,"l","IL","Big Ten","Illinois",14,26
"162",81,"w","ASU","Pac-12","Arizona State",45,26
"163",82,"l","MEM","Conference USA","Memphis",28,26
"164",82,"w","ARKST","Sun Belt","Arkansas State",33,26
"165",83,"l","MAINE","FCS","Maine",3,26
"166",83,"w","BC","Atlantic Coast","Boston College",34,26
"167",84,"l","ID","Western Athletic","Idaho",13,26
"168",84,"w","BG","Mid-American","Bowling Green State",21,26
"169",85,"l","WEBST","FCS","Weber State",13,26
"170",85,"w","BYU","Independent","Brigham Young",45,26
"171",86,"l","MORG","FCS","Morgan State",34,26
"172",86,"w","BUF","Mid-American","Buffalo",56,26
"173",87,"l","SUTAH","FCS","Southern Utah",31,26
"174",87,"w","CAL","Pac-12","California",50,26
"175",88,"l","BALL","Mid-American","Ball State",27,26
"176",88,"w","CLEM","Atlantic Coast","Clemson",52,12
